Pk,Pk_,Yrs,G,FG%,3P%,FT%,WS,WS/48,BPM,VORP,MPG,PPG,RPG,APG
5,5,14,971,0.412,0.329,0.79,40.2,0.067,-0.6,10.1,29.7,11.2,3,5.2
5,5,16,1054,0.48,0.293,0.765,120.7,0.162,5,62.8,33.9,22,4.7,5.4
5,5,3,160,0.444,0.375,0.877,4.2,0.038,-1.9,0.1,32.8,16.4,2.5,5.8
5,5,5,311,0.459,0.317,0.725,15,0.073,0,4.9,31.8,18.7,3.5,6.2
5,5,11,665,0.389,0.326,0.843,42,0.1,0.6,13.5,30.3,11.1,4.2,7.6
5,5,4,257,0.437,0.352,0.868,22.6,0.126,2.7,10.1,33.4,24.9,3.9,8.9
6,6,12,640,0.484,0,0.658,20.9,0.081,-4.3,-7,19.2,5.2,5.4,0.3
6,6,4,203,0.456,0.083,0.618,1.4,0.015,-4.8,-3.2,22.3,9.7,5,0.6
6,6,3,162,0.521,0,0.408,4,0.078,-2.6,-0.4,15.2,3.6,3.5,0.6
6,6,2,76,0.679,0,0.681,4.1,0.17,-0.4,0.5,15.3,6,4,0.6
6,6,7,438,0.474,0.167,0.577,13.3,0.102,-1.6,0.7,14.3,4.8,3.7,0.7
6,6,5,272,0.404,0.333,0.78,3.1,0.025,-4.3,-3.5,22.2,7.9,4.9,0.7
6,6,7,384,0.453,0,0.718,10.4,0.088,-1.4,0.8,14.8,3.5,2.9,0.7
6,6,7,344,0.411,0.336,0.789,6.4,0.052,-1.6,0.6,17.2,6.2,2.2,0.9
6,6,4,204,0.47,0.333,0.68,8.5,0.112,-0.1,1.7,17.8,7.3,5.8,0.9
6,6,10,580,0.418,0.382,0.791,24.7,0.085,-0.8,4.3,24,8.7,3.1,1
6,6,8,450,0.549,0.154,0.655,28.2,0.134,0.9,7.5,22.4,7.3,6.2,1.1
6,6,3,136,0.435,0.33,0.797,6.7,0.091,0.2,2,25.8,9.3,5.4,1.1
6,6,13,735,0.489,0.042,0.743,24.6,0.06,-1.9,0.4,26.7,11.2,7.6,1.3
6,6,3,124,0.407,0.29,0.505,0.2,0.003,-4.2,-1.3,18.2,7,2.9,1.3
6,6,5,296,0.425,0.083,0.773,3,0.024,-3.6,-2.4,19.7,8,4.2,1.4
6,6,7,420,0.544,0.188,0.612,23.3,0.121,-0.1,4.4,22.1,8.8,5.9,1.4
6,6,6,395,0.475,0.074,0.703,13,0.052,-3.4,-4.3,30.6,12.5,6.9,1.6
6,6,8,391,0.522,0.329,0.779,25.7,0.118,0.8,7.4,26.7,9.1,4.7,1.6
6,6,13,825,0.466,0.298,0.691,23.1,0.05,-2.5,-2.9,26.7,9.5,3.2,1.7
6,6,13,977,0.437,0.384,0.743,75.7,0.121,1.7,28.2,30.7,8.6,4.2,1.8
6,6,4,103,0.366,0.321,0.77,0,0,-4.9,-1.6,21.4,9.4,1.4,1.9
6,6,13,709,0.427,0.383,0.877,62.9,0.142,1.8,20.5,29.9,15.6,4.8,1.9
6,6,8,432,0.429,0.25,0.808,9.4,0.034,-2.7,-2.5,31.1,13.6,3.1,2.1
6,6,10,651,0.485,0.406,0.86,53.3,0.127,0.7,13.6,30.8,14.1,4,2.4
6,6,6,446,0.429,0.399,0.863,16.5,0.061,0.2,7.2,28.9,15.9,4.2,2.4
6,6,13,763,0.451,0.284,0.757,40.2,0.082,0.6,15.3,30.9,13,7.3,2.8
6,6,12,893,0.414,0.325,0.633,38.1,0.058,0.3,18,35.3,17.5,7.7,3.5
6,6,3,163,0.4,0.338,0.809,-1.1,-0.015,-4,-1.9,22.9,9.2,1.9,3.9
6,6,8,499,0.38,0.319,0.778,28,0.091,-0.2,6.6,29.7,10.3,3.6,4.3
6,6,6,326,0.459,0.348,0.8,37.4,0.155,3.6,16.3,35.5,18.8,4.3,4.7
6,6,1,53,0.418,0.267,0.705,0.9,0.027,-0.9,0.4,31.4,12.4,7.8,6.4
6,6,10,711,0.437,0.373,0.893,94.5,0.176,4.7,43.8,36.3,24.6,4.2,6.6
7,7,8,436,0.459,0.231,0.704,13.3,0.073,-3.9,-4.3,20.1,7.5,5.3,0.5
7,7,11,719,0.53,0,0.565,29,0.096,-2.6,-2.1,20.2,5.2,6.2,0.6
7,7,1,47,0.511,0.322,0.655,1.7,0.117,-2.2,0,14.5,8,2.8,0.7
7,7,13,778,0.459,0.069,0.645,30.5,0.079,-2.6,-3,23.8,8,6.4,0.8
7,7,5,303,0.377,0.315,0.671,10.9,0.078,-0.4,2.8,22.2,7.2,5.8,0.8
7,7,11,656,0.435,0.341,0.772,22.6,0.08,-0.6,4.7,20.7,10.4,4.6,0.8
7,7,9,534,0.414,0.364,0.776,9,0.036,-3,-3.1,22.5,8.9,2.3,1
7,7,11,736,0.43,0.36,0.759,19.8,0.052,-1.2,4,25.1,11.3,4.1,1.3
7,7,5,259,0.439,0.363,0.847,14.7,0.092,-0.1,3.6,29.6,15.3,6.8,1.3
7,7,10,567,0.462,0,0.76,17.5,0.07,-2.6,-1.9,21.2,7.2,4.9,1.5
7,7,13,824,0.437,0.369,0.758,35.2,0.079,-0.8,6.4,25.9,11.5,4.1,1.5
7,7,13,819,0.425,0.284,0.713,22.5,0.058,-1.6,2,22.9,8.7,2.8,1.5
7,7,17,965,0.548,0.132,0.66,73.3,0.139,1,18.8,26.2,11.3,6,1.8
7,7,10,725,0.453,0.38,0.804,43.6,0.091,-0.8,7,31.8,14.1,5.1,1.8
7,7,4,192,0.507,0.291,0.738,12.4,0.114,-0.9,1.4,27.3,11.8,8.7,1.9
7,7,10,642,0.514,0.059,0.703,50.1,0.137,1.4,15.2,27.5,13.1,8.2,2.1
7,7,11,708,0.425,0.379,0.743,33.9,0.087,0.5,11.8,26.6,11.8,3.9,2.3
7,7,15,902,0.456,0.332,0.769,74,0.115,0.9,22.9,34.3,14.8,6.1,2.3
7,7,11,752,0.401,0.366,0.852,23.5,0.058,-1.2,3.8,25.6,10.3,2.2,2.8
7,7,14,739,0.428,0.37,0.81,36.3,0.073,-0.5,8.9,32.5,16.5,2.4,2.9
7,7,7,454,0.433,0.305,0.771,16.9,0.06,0,6.7,29.7,12.8,6.2,3.3
7,7,5,269,0.353,0.272,0.769,-1.2,-0.014,-5.4,-3.5,15.5,3.8,1.1,3.3
7,7,14,921,0.449,0.346,0.852,62.8,0.102,-0.2,13.2,32.1,17.1,3.1,3.4
7,7,8,503,0.476,0.333,0.743,31.1,0.095,0.4,9.4,31.1,17.6,9.3,3.5
